Word,RecordCount,TotalOccurrences,FirstLetter
"ANN",17,35,"A"
"ANNE",14,28,"A"
"ANDERSON",9,22,"A"
"ANDREW",9,18,"A"
"ANTHONY",9,17,"A"
"ARNOLD",7,15,"A"
"ALAN",7,14,"A"
"AND",6,6,"A"
"ALISON",5,10,"A"
"ALLAN",3,7,"A"
"ANDREA",3,6,"A"
"ARLENE",3,6,"A"
"AARON",3,6,"A"
"AMY",3,5,"A"
"ASHER",2,6,"A"
"ALPERT",2,6,"A"
"AGRICOLA",2,5,"A"
"ATWATER",2,5,"A"
"ARIETTA",2,4,"A"
"ARIEL",2,4,"A"
"ALYCE",2,4,"A"
"ARMITAGE",2,4,"A"
"ALYSON",2,4,"A"
"APPLEBY",2,4,"A"
"ANNITA",2,4,"A"
"ALVIN",2,4,"A"
"ALBERTSON",2,4,"A"
"ALBERT",2,4,"A"
"ANDERSEN",2,3,"A"
"ANASTOS",2,2,"A"
"AUWARTER",1,3,"A"
"ALFONSO",1,3,"A"
"ALEXANDER",1,3,"A"
"ARLEN",1,3,"A"
"APPELBY",1,2,"A"
"ANATOS",1,2,"A"
"ALLISON",1,2,"A"
"ACOSTA",1,2,"A"
"ANDY",1,2,"A"
"AMANDA",1,2,"A"
"ABRAMS",1,2,"A"
"ALLEN",1,2,"A"
"ANGELBECK",1,2,"A"
"ALICE",1,2,"A"
"ARLENXXX",1,2,"A"
"AUGUSTA",1,2,"A"
"AMATO",1,2,"A"
"ARGENTO",1,2,"A"
"AJOOTIAN",1,2,"A"
"AUBER",1,2,"A"
"ALEXIS",1,2,"A"
"ALICIA",1,2,"A"
"ARTHUR",1,2,"A"
"ADRIAN",1,2,"A"
"ASARO",1,2,"A"
"ANITA",1,1,"A"
"ADELE",1,1,"A"
"ANNA",1,1,"A"
"ALEC",1,1,"A"
"AUDREY",1,1,"A"
"ALEXISCOTE",1,1,"A"
"BARBARA",19,36,"B"
"BRIAN",10,19,"B"
"BRUCE",6,12,"B"
"BETH",6,11,"B"
"BROTHERHOOD",5,14,"B"
"BILL",5,10,"B"
"BARRY",5,10,"B"
"BACON",4,10,"B"
"BRIEN",4,10,"B"
"BOB",4,8,"B"
"BEN",4,8,"B"
