Word,RecordCount,TotalOccurrences,FirstLetter
"ROBERT",49,100,"R"
"DAVID",44,84,"D"
"JOHN",39,78,"J"
"SUSAN",38,78,"S"
"MICHAEL",38,76,"M"
"MARY",36,71,"M"
"PETER",36,70,"P"
"JAMES",35,70,"J"
"WILLIAM",29,57,"W"
"THOMAS",24,49,"T"
"ELIZABETH",24,47,"E"
"LINDA",21,42,"L"
"JANE",21,42,"J"
"JOSEPH",21,40,"J"
"RICHARD",20,41,"R"
"CHARLES",19,39,"C"
"CAROL",19,38,"C"
"BARBARA",19,36,"B"
"PAUL",19,35,"P"
"PATRICIA",18,36,"P"
"ANN",17,35,"A"
"KENNETH",17,35,"K"
"MARTIN",15,38,"M"
"MARK",15,30,"M"
"NANCY",15,28,"N"
"ANNE",14,28,"A"
"CHRISTOPHER",13,24,"C"
"JENNIFER",12,25,"J"
"LAWRENCE",12,25,"L"
"CATHERINE",12,23,"C"
"JOAN",12,23,"J"
"HELEN",11,22,"H"
"DIANE",11,22,"D"
"MARTHA",11,20,"M"
"SMITH",10,28,"S"
"NELSON",10,25,"N"
"STEPHEN",10,23,"S"
"NEIL",10,22,"N"
"DONALD",10,21,"D"
"KAREN",10,21,"K"
"KEITH",10,20,"K"
"SANDRA",10,20,"S"
"FRANK",10,20,"F"
"MARGARET",10,20,"M"
"RUTH",10,20,"R"
"KATHLEEN",10,20,"K"
"HENRY",10,20,"H"
"BRIAN",10,19,"B"
"LAURA",10,19,"L"
"JUDITH",10,19,"J"
"MARILYN",10,18,"M"
"LYNN",10,17,"L"
"MURPHY",9,24,"M"
"ANDERSON",9,22,"A"
"LESLIE",9,18,"L"
"JONATHAN",9,18,"J"
"ANDREW",9,18,"A"
"CAROLYN",9,18,"C"
"SHARON",9,18,"S"
"DANIEL",9,18,"D"
"KATHERINE",9,18,"K"
"LEE",9,18,"L"
"MITCHELL",9,17,"M"
"ANTHONY",9,17,"A"
"MILLER",8,23,"M"
"KELLY",8,18,"K"
"LEWIS",8,18,"L"
"KEVIN",8,17,"K"
"ERIC",8,16,"E"
"ELLEN",8,16,"E"
"SAM",8,16,"S"
"ROBERTA",8,16,"R"
"PAMELA",8,16,"P"
"FAMILY",8,12,"F"
"WILSON",7,18,"W"
"DAVIS",7,17,"D"
"SCOTT",7,16,"S"
"WENDY",7,15,"W"
"JULIE",7,15,"J"
"ARNOLD",7,15,"A"
"MARIE",7,14,"M"
"DENNIS",7,14,"D"
"SARAH",7,14,"S"
"DONNA",7,14,"D"
"KIM",7,14,"K"
"ALAN",7,14,"A"
"LISA",7,14,"L"
"DUPONT",7,14,"D"
"SALLY",7,13,"S"
"SUE",7,13,"S"
"PETERSON",6,17,"P"
"DOYLE",6,16,"D"
"LANG",6,16,"L"
"POMEROY",6,14,"P"
"JANET",6,14,"J"
"SHERMAN",6,14,"S"
"MATTHEW",6,13,"M"
"CHRISTINE",6,13,"C"
"WALTER",6,12,"W"
"PATRICK",6,12,"P"
"ED",6,12,"E"
"LARRY",6,12,"L"
"EDWARD",6,12,"E"
"GILLIAN",6,12,"G"
"STEPHANIE",6,12,"S"
"BRUCE",6,12,"B"
"DOUGLAS",6,11,"D"
"KATHRYN",6,11,"K"
"RONALD",6,11,"R"
"BETH",6,11,"B"
"DEAN",6,11,"D"
"PHILLIPS",6,11,"P"
"TRICIA",6,10,"T"
"MARION",6,10,"M"
"DR",6,10,"D"
"LLC",6,10,"L"
"JACK",6,8,"J"
"AND",6,6,"A"
"HARTNETT",5,15,"H"
"FOLEY",5,14,"F"
"FOX",5,14,"F"
"BROTHERHOOD",5,14,"B"
"TAYLOR",5,13,"T"
"RISOM",5,12,"R"
"CORCORAN",5,12,"C"
"SEAN",5,11,"S"
"GEORGE",5,10,"G"
"DOUG",5,10,"D"
"CANDACE",5,10,"C"
"GREG",5,10,"G"
"CAREN",5,10,"C"
"GORDON",5,10,"G"
"STEVEN",5,10,"S"
"KIMBERLY",5,10,"K"
"CAROLINE",5,10,"C"
"BILL",5,10,"B"
"ERIN",5,10,"E"
"LILLIAN",5,10,"L"
"FORD",5,10,"F"
"EILEEN",5,10,"E"
"CELIA",5,10,"C"
"TONY",5,10,"T"
"CHRIS",5,10,"C"
"REBECCA",5,10,"R"
"ALISON",5,10,"A"
"SIMON",5,10,"S"
"ROSS",5,10,"R"
"JOYCE",5,10,"J"
"BARRY",5,10,"B"
"JR",5,10,"J"
"DEBORAH",5,9,"D"
"LORI",5,9,"L"
"JEAN",5,9,"J"
"JIM",5,9,"J"
"TOM",5,8,"T"
"CARMEN",5,8,"C"
"PAT",5,8,"P"
"TRUST",5,7,"T"
"PIO",4,12,"P"
"GREENMAN",4,11,"G"
