Word,RecordCount,TotalOccurrences,FirstLetter
"ABESHOUSE",10,10,"A"
"AUDUBON",9,9,"A"
"ASSOC",7,7,"A"
"AVE",5,5,"A"
"ASSOCIATION",5,5,"A"
"AL",4,4,"A"
"ALDO",3,4,"A"
"ATTWOOD",3,3,"A"
"ASSOCIATES",3,3,"A"
"ASS0C",3,3,"A"
"ANDREWS",2,2,"A"
"AI",2,2,"A"
"ALBERS",2,2,"A"
"ARMOUR",2,2,"A"
"AMELIA",1,1,"A"
"AUBUT",1,1,"A"
"AIRPORT",1,1,"A"
"ANDIAMO",1,1,"A"
"ASCH",1,1,"A"
"AZIMUTH",1,1,"A"
"AKA",1,1,"A"
"AILLION",1,1,"A"
"AGUSTA",1,1,"A"
"AKLER",1,1,"A"
"APARO",1,1,"A"
"ACADIA",1,1,"A"
"ANNCO",1,1,"A"
"ADENEY",1,1,"A"
"AVERNA",1,1,"A"
"ALCIA",1,1,"A"
"ANTONUCCI",1,1,"A"
"AMERICA",1,1,"A"
"ABACCAS",1,1,"A"
"AILLON",1,1,"A"
"ALEXANDRA",1,1,"A"
"AUCHINCLOSS",1,1,"A"
"ACTING",1,1,"A"
"ALISANNE",1,1,"A"
"BI",66,68,"B"
"BLAKE",7,7,"B"
"BALL",6,7,"B"
"BEACH",6,6,"B"
"BAYROSE",6,6,"B"
"BLUE",4,4,"B"
"BALSER",4,4,"B"
"BRENNAN",3,3,"B"
"BRADFORD",3,3,"B"
"BABARA",2,2,"B"
"BERNICE",2,2,"B"
"BAKER",2,2,"B"
"BRODSKY",2,2,"B"
"BEACHEAD",2,2,"B"
"BUTCHER",2,2,"B"
"BY",2,2,"B"
"BURNS",2,2,"B"
"BLANE",2,2,"B"
"BAUER",2,2,"B"
"BARNACLE",2,2,"B"
"BERIT",1,1,"B"
"BERNIER",1,1,"B"
"BUCHANAN",1,1,"B"
"BATCHELDER",1,1,"B"
"BAIN",1,1,"B"
"BALSNER",1,1,"B"
"BEACON",1,1,"B"
"BRASSARD",1,1,"B"
"BOURICIER",1,1,"B"
"BEUNING",1,1,"B"
"BERUBE",1,1,"B"
"BONFIRE",1,1,"B"
"BEIZER",1,1,"B"
"BEST",1,1,"B"
"BLAKELY",1,1,"B"
"BRINTON",1,1,"B"
"BAYSIDE",1,1,"B"
"BATON",1,1,"B"
"B1676",1,1,"B"
"BACCHUS",1,1,"B"
"BATTYVILLE",1,1,"B"
"BOOTH",1,1,"B"
"BIRAVEN",1,1,"B"
"BELLE",1,1,"B"
"BRIDGEGATE",1,1,"B"
"BGM",1,1,"B"
"BAYER",1,1,"B"
"BENDOKAS",1,1,"B"
"BRITZ",1,1,"B"
"BONNIE",1,1,"B"
"BIRI",1,1,"B"
"BERNADETTE",1,1,"B"
"BLOCKHOUSE",1,1,"B"
"BABCOCK",1,1,"B"
"BASIN",1,1,"B"
"BRAKEFIELD",1,1,"B"
"BARILE",1,1,"B"
"BETHANIE",1,1,"B"
"BEAHAN",1,1,"B"
"BDW",1,1,"B"
"BEINKAMPEN",1,1,"B"
"BUCKLEY",1,1,"B"
"BARNICOAT",1,1,"B"
"BOY",1,1,"B"
"BROWNELL",1,1,"B"
"BOZZOLA",1,1,"B"
"BOGTOWN",1,1,"B"
"BREUNIG",1,1,"B"
"BATES",1,1,"B"
"BLACKBERRY",1,1,"B"
"BARRON",1,1,"B"
"BISHOP",1,1,"B"
"BURGER",1,1,"B"
"BOTHNER",1,1,"B"
"BARLOW",1,1,"B"
"CONSERVANCY",117,117,"C"
"CORN",12,12,"C"
"CO",7,7,"C"
"CATHY",5,5,"C"
"COVE",4,4,"C"
"COMPANY",4,4,"C"
"COONEYMUS",4,4,"C"
"CHAMPLIN",4,4,"C"
"COTTAGE",3,3,"C"
"CHERRY",3,3,"C"
"CORP",3,3,"C"
"CARLISLE",3,3,"C"
"CONNOR",3,3,"C"
"CORRIE",2,2,"C"
"COOPER",2,2,"C"
"CORINNE",2,2,"C"
"CALVEZ",2,2,"C"
"CALLUM",2,2,"C"
"CONSERVAN",2,2,"C"
"CUMMISKEY",2,2,"C"
"CEDAR",2,2,"C"
"COAST",2,2,"C"
"CRESSMAN",2,2,"C"
"CHARLENE",2,2,"C"
"CONNELLY",2,2,"C"
"CARLENE",1,1,"C"
"CHILDREN",1,1,"C"
"CORALBERRY",1,1,"C"
"CEAFSV2",1,1,"C"
"CHURCH",1,1,"C"
"CORMORANT",1,1,"C"
"CONVERSANCY",1,1,"C"
"CAB",1,1,"C"
"CULLEN",1,1,"C"
"COONEMUS",1,1,"C"
"CLOSTER",1,1,"C"
"CRANE",1,1,"C"
"CLEVELAND",1,1,"C"
"CANNON",1,1,"C"
"CULLION",1,1,"C"
"CONNELL",1,1,"C"
"CARLOS",1,1,"C"
"CHADWICK",1,1,"C"
"CELESTE",1,1,"C"
"CHRYSALIS",1,1,"C"
"CARINAL",1,1,"C"
