Word,RecordCount,TotalOccurrences,FirstLetter
"AND",30,30,"A"
"ANN",15,15,"A"
"ABESHOUSE",10,10,"A"
"ANTHONY",9,9,"A"
"AMY",9,9,"A"
"AUDUBON",9,9,"A"
"ASSOC",7,7,"A"
"ANDREW",6,6,"A"
"ADRIAN",6,6,"A"
"ANNE",6,6,"A"
"AVE",5,5,"A"
"ASSOCIATION",5,5,"A"
"ANNA",5,5,"A"
"AL",4,4,"A"
"ALDO",3,4,"A"
"ALAN",3,3,"A"
"ANDREA",3,3,"A"
"ARNOLD",3,3,"A"
"ARTHUR",3,3,"A"
"ATTWOOD",3,3,"A"
"ASSOCIATES",3,3,"A"
"ASS0C",3,3,"A"
"ALISON",3,3,"A"
"ANDREWS",2,2,"A"
"ALBERT",2,2,"A"
"ANITA",2,2,"A"
"ANASTOS",2,2,"A"
"ANDERSON",2,2,"A"
"ALICIA",2,2,"A"
"AI",2,2,"A"
"ALEXANDER",2,2,"A"
"ALBERS",2,2,"A"
"ARMOUR",2,2,"A"
"ALPERT",1,1,"A"
"AMELIA",1,1,"A"
"AUBUT",1,1,"A"
"ALICE",1,1,"A"
"AIRPORT",1,1,"A"
"ANDIAMO",1,1,"A"
"ALEXIS",1,1,"A"
"ASCH",1,1,"A"
"AZIMUTH",1,1,"A"
"AKA",1,1,"A"
"AILLION",1,1,"A"
"APPLEBY",1,1,"A"
"ASARO",1,1,"A"
"AMATO",1,1,"A"
"AGUSTA",1,1,"A"
"AKLER",1,1,"A"
"APARO",1,1,"A"
"ACADIA",1,1,"A"
"ANNCO",1,1,"A"
"ADENEY",1,1,"A"
"AVERNA",1,1,"A"
"AUGUSTA",1,1,"A"
"ALCIA",1,1,"A"
"ALLEN",1,1,"A"
"ANTONUCCI",1,1,"A"
"AMERICA",1,1,"A"
"ALBERTSON",1,1,"A"
"ABACCAS",1,1,"A"
"AILLON",1,1,"A"
"ASHER",1,1,"A"
"ALEXANDRA",1,1,"A"
"AUCHINCLOSS",1,1,"A"
"ACTING",1,1,"A"
"ALISANNE",1,1,"A"
"ARIETTA",1,1,"A"
"BI",66,68,"B"
"BLOCK",41,41,"B"
"BARBARA",12,12,"B"
"BRIAN",8,8,"B"
"BROWN",7,8,"B"
"BLAKE",7,7,"B"
"BALL",6,7,"B"
"BEACH",6,6,"B"
"BAYROSE",6,6,"B"
"BLUE",4,4,"B"
"BALSER",4,4,"B"
"BRIEN",4,4,"B"
"BRUCE",4,4,"B"
"BENNET",4,4,"B"
"BRYAN",3,3,"B"
"BRENNAN",3,3,"B"
"BLANSFIELD",3,3,"B"
"BRADFORD",3,3,"B"
"BELL",3,3,"B"
"BABARA",2,2,"B"
"BALLARD",2,2,"B"
"BETTY",2,2,"B"
"BERNICE",2,2,"B"
"BAKER",2,2,"B"
"BRODSKY",2,2,"B"
"BEACHEAD",2,2,"B"
"BUTCHER",2,2,"B"
"BY",2,2,"B"
"BURNS",2,2,"B"
"BRANNON",2,2,"B"
"BURAK",2,2,"B"
"BARR",2,2,"B"
"BOGDANFFY",2,2,"B"
"BLANE",2,2,"B"
"BAUER",2,2,"B"
"BARNACLE",2,2,"B"
"BRENTON",1,2,"B"
"BERIT",1,1,"B"
"BERNIER",1,1,"B"
"BUCHANAN",1,1,"B"
"BATCHELDER",1,1,"B"
"BAIN",1,1,"B"
"BALSNER",1,1,"B"
"BEACON",1,1,"B"
"BRASSARD",1,1,"B"
"BOURICIER",1,1,"B"
"BRIGGS",1,1,"B"
"BEUNING",1,1,"B"
"BLOOM",1,1,"B"
"BERUBE",1,1,"B"
"BONFIRE",1,1,"B"
"BEIZER",1,1,"B"
"BRENDA",1,1,"B"
"BEST",1,1,"B"
"BUHN",1,1,"B"
"BLAKELY",1,1,"B"
"BRINTON",1,1,"B"
"BAYSIDE",1,1,"B"
"BARRETT",1,1,"B"
"BATON",1,1,"B"
"B1676",1,1,"B"
"BACCHUS",1,1,"B"
"BRUNHOUSE",1,1,"B"
