entityIndex,entityType,original,streetNumber,streetName,streetType,secUnitType,secUnitNum,city,state,zip,originalTerm
0,AggregateHousehold,1510 OFF GRACE COVE ROAD,1510,OFF GRACE COVE ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1510 OFF GRACE COVE ROAD
1,Business,1742  OFF CORN NECK,1742,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1742  OFF CORN NECK
2,LegalConstruct,631  OFF CORN NECK,631,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,631  OFF CORN NECK
3,LegalConstruct,640  OFF CORN NECK,640,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,640  OFF CORN NECK
4,AggregateHousehold,617 OFF CORN NECK,617,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,617 OFF CORN NECK
5,LegalConstruct,630  OFF CORN NECK,630,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,630  OFF CORN NECK
6,LegalConstruct,631  OFF CORN NECK,631,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,631  OFF CORN NECK
7,LegalConstruct,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
8,AggregateHousehold,604  OFF CORN NECK,604,OFF CORN NECK,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,604  OFF CORN NECK
9,Business,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
10,Business,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
11,AggregateHousehold,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
12,LegalConstruct,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
13,AggregateHousehold,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
14,Business,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
15,AggregateHousehold,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
16,Business,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
17,Business,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
18,LegalConstruct,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
19,LegalConstruct,OFF CORN NECK,NOT PARSED,OFF CORN NECK,Nck,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF CORN NECK
20,LegalConstruct,OFF COONEYMUS-6.1A,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS-6.1A
21,Business,OFF COONEYMUS-'C',NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS-'C'
22,Business,OFF COONEYMUS-8.9A,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS-8.9A
23,Business,OFF COONEYMUS-8.9A,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS-8.9A
24,Business,OFF COONEYMUS-18.6A,NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS-18.6A
25,AggregateHousehold,OFF COONEYMUS--ROW,NOT PARSED,OFF COONEYMUS,Row,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS--ROW
26,Business,OFF COONEYMUS-'B',NOT PARSED,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS-'B'
27,AggregateHousehold,1430  OFF COONEYMUS ROAD,1430,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1430  OFF COONEYMUS ROAD
28,Individual,1499 OFF COONEYMUS ROAD,1499,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1499 OFF COONEYMUS ROAD
29,AggregateHousehold,1435 OFF COONEYMUS ROAD,1435,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1435 OFF COONEYMUS ROAD
30,LegalConstruct,1427  OFF COONEYMUS ROAD,1427,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1427  OFF COONEYMUS ROAD
31,AggregateHousehold,1429  OFF COONEYMUS ROAD,1429,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1429  OFF COONEYMUS ROAD
32,LegalConstruct,1405  OFF COONEYMUS ROAD,1405,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1405  OFF COONEYMUS ROAD
33,LegalConstruct,1428  OFF COONEYMUS ROAD,1428,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1428  OFF COONEYMUS ROAD
34,AggregateHousehold,1361 OFF COONEYMUS ROAD,1361,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1361 OFF COONEYMUS ROAD
35,LegalConstruct,1349 OFF COONEYMUS ROAD,1349,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1349 OFF COONEYMUS ROAD
36,AggregateHousehold,1116  OFF COONEYMUS ROAD,1116,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1116  OFF COONEYMUS ROAD
37,AggregateHousehold,1328 OFF COONEYMUS ROAD,1328,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1328 OFF COONEYMUS ROAD
38,AggregateHousehold,984 OFF COONEYMUS ROAD,984,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,984 OFF COONEYMUS ROAD
39,AggregateHousehold,1309 OFF COONEYMUS ROAD,1309,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1309 OFF COONEYMUS ROAD
40,LegalConstruct,1056 OFF COONEYMUS ROAD,1056,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1056 OFF COONEYMUS ROAD
41,LegalConstruct,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
42,AggregateHousehold,892 OFF COONEYMUS ROAD,892,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,892 OFF COONEYMUS ROAD
43,AggregateHousehold,893  OFF COONEYMUS ROAD,893,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,893  OFF COONEYMUS ROAD
44,LegalConstruct,885  OFF COONEYMUS ROAD,885,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,885  OFF COONEYMUS ROAD
45,AggregateHousehold,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
46,AggregateHousehold,886 OFF COONEYMUS ROAD,886,OFF COONEYMUS ROAD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,886 OFF COONEYMUS ROAD
47,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
48,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
49,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
50,LegalConstruct,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
51,AggregateHousehold,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
52,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
53,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
54,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
55,LegalConstruct,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
56,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
57,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
58,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
59,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
60,Business,OFF COONEYMUS RD-,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD-
61,LegalConstruct,OFF COONEYMUS RD-,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD-
62,Business,OFF COONEYMUS RD-'A',NOT PARSED,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD-'A'
63,Business,OFF COONEYMUS ROAD,NOT PARSED,OFF COONEYMUS ROAD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS ROAD
64,Individual,1434 OFF COONEYMUS RD,1434,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1434 OFF COONEYMUS RD
65,AggregateHousehold,1445 OFF COONEYMUS RD,1445,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1445 OFF COONEYMUS RD
66,LegalConstruct,1272 OFF COONEYMUS RD,1272,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1272 OFF COONEYMUS RD
67,AggregateHousehold,1362 OFF COONEYMUS RD,1362,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1362 OFF COONEYMUS RD
68,AggregateHousehold,1363 OFF COONEYMUS RD,1363,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1363 OFF COONEYMUS RD
69,LegalConstruct,1343 OFF COONEYMUS RD,1343,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1343 OFF COONEYMUS RD
70,Business,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
71,Business,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
72,AggregateHousehold,896  OFF COONEYMUS RD,896,OFF COONEYMUS RD,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,896  OFF COONEYMUS RD
73,Business,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
74,Business,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
75,LegalConstruct,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
76,LegalConstruct,1441  OFF COONEYMUS,1441,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1441  OFF COONEYMUS
77,AggregateHousehold,1444 OFF COONEYMUS,1444,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1444 OFF COONEYMUS
78,LegalConstruct,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
79,LegalConstruct,890 OFF COONEYMUS #01,890,OFF COONEYMUS,NOT PARSED,#,01,Block Island,RI,02807,890 OFF COONEYMUS #01
80,LegalConstruct,OFF COONEYMUS RD,NOT PARSED,OFF COONEYMUS RD,Rd,NOT PARSED,NOT PARSED,Block Island,RI,02807,OFF COONEYMUS RD
81,LegalConstruct,1437 OFF COONEYMUS,1437,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1437 OFF COONEYMUS
82,LegalConstruct,1426  OFF COONEYMUS,1426,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1426  OFF COONEYMUS
83,AggregateHousehold,1432  OFF COONEYMUS,1432,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1432  OFF COONEYMUS
84,AggregateHousehold,1423  OFF COONEYMUS,1423,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1423  OFF COONEYMUS
85,AggregateHousehold,1421  OFF COONEYMUS,1421,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1421  OFF COONEYMUS
86,Individual,1425  OFF COONEYMUS,1425,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1425  OFF COONEYMUS
87,AggregateHousehold,1417  OFF COONEYMUS,1417,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1417  OFF COONEYMUS
88,AggregateHousehold,1418   OFF COONEYMUS,1418,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1418   OFF COONEYMUS
89,AggregateHousehold,1420  OFF COONEYMUS,1420,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1420  OFF COONEYMUS
90,AggregateHousehold,1415  OFF COONEYMUS,1415,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1415  OFF COONEYMUS
91,LegalConstruct,1414  OFF COONEYMUS,1414,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1414  OFF COONEYMUS
92,AggregateHousehold,1410  OFF COONEYMUS,1410,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1410  OFF COONEYMUS
93,LegalConstruct,1412 OFF COONEYMUS,1412,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1412 OFF COONEYMUS
94,LegalConstruct,1408  OFF COONEYMUS,1408,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1408  OFF COONEYMUS
95,LegalConstruct,1409  OFF COONEYMUS,1409,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1409  OFF COONEYMUS
96,AggregateHousehold,1413  OFF COONEYMUS,1413,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1413  OFF COONEYMUS
97,LegalConstruct,1411  OFF COONEYMUS,1411,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1411  OFF COONEYMUS
98,LegalConstruct,1404  OFF COONEYMUS,1404,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1404  OFF COONEYMUS
99,LegalConstruct,1407  OFF COONEYMUS,1407,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1407  OFF COONEYMUS
100,LegalConstruct,1403  OFF COONEYMUS,1403,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1403  OFF COONEYMUS
101,AggregateHousehold,1401  OFF COONEYMUS,1401,OFF COONEYMUS,NOT PARSED,NOT PARSED,NOT PARSED,Block Island,RI,02807,1401  OFF COONEYMUS
