entityIndex,entityType,addressIndex,original,streetNumber,streetName,streetType,secUnitType,secUnitNum,city,state,zip,originalTerm
0,AggregateHousehold,0,1 FALMOUTH ROAD::#^#::YONKERS:^#^: NY 10710,1,FALMOUTH,Rd,NOT PARSED,NOT PARSED,YONKERS,NY,10710,1 FALMOUTH ROAD::#^#::YONKERS:^#^: NY 10710
1,Business,0,PO BOX 1194::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1194,Block Island,RI,02807,PO BOX 1194::#^#::BLOCK ISLAND:^#^: RI 02807
2,LegalConstruct,0,PO BOX 146::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,146,Block Island,RI,02807,PO BOX 146::#^#::BLOCK ISLAND:^#^: RI 02807
3,LegalConstruct,0,34 WHEELER ROAD::#^#::LITCHFIELD:^#^: CT 06759,34,WHEELER,Rd,NOT PARSED,NOT PARSED,LITCHFIELD,CT,06759,34 WHEELER ROAD::#^#::LITCHFIELD:^#^: CT 06759
4,AggregateHousehold,0,PO BOX 118::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,118,Block Island,RI,02807,PO BOX 118::#^#::BLOCK ISLAND:^#^: RI 02807
5,LegalConstruct,0,414 LOUDONVILLE ROAD::#^#::LOUDONVILLE:^#^: NY 12211,414,LOUDONVILLE,Rd,NOT PARSED,NOT PARSED,LOUDONVILLE,NY,12211,414 LOUDONVILLE ROAD::#^#::LOUDONVILLE:^#^: NY 12211
6,LegalConstruct,0,PO BOX 441::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,441,Block Island,RI,02807,PO BOX 441::#^#::BLOCK ISLAND:^#^: RI 02807
7,LegalConstruct,0,34 WHEELER RD::#^#::LITCHFIELD :^#^: CT 06759,34,WHEELER,Rd,NOT PARSED,NOT PARSED,LITCHFIELD,CT,06759,34 WHEELER RD::#^#::LITCHFIELD :^#^: CT 06759
8,AggregateHousehold,0,PO BOX 1312::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1312,Block Island,RI,02807,PO BOX 1312::#^#::BLOCK ISLAND:^#^: RI 02807
9,Business,0,PO BOX 1287::#^#::BLOCK ISLAND:^#^: RI 02807,NOT PARSED,NOT PARSED,NOT PARSED,PO BOX,1287,Block Island,RI,02807,PO BOX 1287::#^#::BLOCK ISLAND:^#^: RI 02807
10,Business,0,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906,159,WATERMAN,St,NOT PARSED,NOT PARSED,PROVIDENCE,RI,02906,159 WATERMAN ST::#^#::PROVIDENCE:^#^: RI 02906
11,AggregateHousehold,0,59 RHODE ISLAND AVENUE::#^#::NEWPORT:^#^: RI 02840,59,RHODE ISLAND,Ave,NOT PARSED,NOT PARSED,NEWPORT,RI,02840,59 RHODE ISLAND AVENUE::#^#::NEWPORT:^#^: RI 02840
12,LegalConstruct,0,633 EAST GRAVERS LANE::#^#::WYNDMOOR:^#^: PA 19038,633,GRAVERS,Ln,NOT PARSED,NOT PARSED,WYNDMOOR,PA,19038,633 EAST GRAVERS LANE::#^#::WYNDMOOR:^#^: PA 19038
13,AggregateHousehold,0,355 BRYANT ST.::#^#::SAN FRANCISCO:^#^: CA 941000,355,BRYANT,St,NOT PARSED,NOT PARSED,SAN FRANCISCO,CA,94100,355 BRYANT ST.::#^#::SAN FRANCISCO:^#^: CA 941000
14,Business,0,300 WESTGATE CENTER DRIVE::#^#::HADLEY:^#^: MA 01035,300,WESTGATE CENTER,Dr,NOT PARSED,NOT PARSED,HADLEY,MA,01035,300 WESTGATE CENTER DRIVE::#^#::HADLEY:^#^: MA 01035
15,AggregateHousehold,0,535 MADISON AVE::#^#::15TH FLOOR::#^#::NEW YORK:^#^: NY 10022,535,MADISON,Ave,NOT PARSED,NOT PARSED,NOT PARSED,NOT PARSED,NOT PARSED,535 MADISON AVE::#^#::15TH FLOOR::#^#::NEW YORK:^#^: NY 10022
16,Business,0,300 WESTGATE CENTER DRIVE::#^#::HADLEY:^#^: MA 01035,300,WESTGATE CENTER,Dr,NOT PARSED,NOT PARSED,HADLEY,MA,01035,300 WESTGATE CENTER DRIVE::#^#::HADLEY:^#^: MA 01035
